,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,luganville,-15.5333,167.1667,299.4,88,100,3.28,VU,1647933520
202,nanortalik,60.1432,-45.2371,263.22,83,48,2.28,GL,1647933520
203,aksarka,66.5606,67.7975,263.21,91,100,7.2,RU,1647933520
204,yuanping,38.7153,112.7575,278.54,73,100,3.19,CN,1647933520
205,copiapo,-27.3667,-70.3333,291.49,61,0,0.47,CL,1647933521
206,itarema,-2.9248,-39.9167,297.55,92,99,3.75,BR,1647933521
207,ahuimanu,21.4447,-157.8378,297.99,81,20,1.54,US,1647933521
208,port elizabeth,-33.918,25.5701,297.21,88,75,2.06,ZA,1647933521
209,torbay,47.6666,-52.7314,273.3,93,100,11.83,CA,1647933521
210,bengkulu,-3.8004,102.2655,303.24,60,65,4.23,ID,1647933522
211,svencionys,55.15,26.1667,278.67,69,0,1.7,LT,1647933522
212,oxelosund,58.6706,17.1015,276.97,86,0,2.06,SE,1647933522
213,jutai,-5.1833,-68.9,294.88,98,100,0.32,BR,1647933522
214,kemijarvi,66.7131,27.4306,272.94,86,40,1.42,FI,1647933522
215,carnarvon,-24.8667,113.6333,302.19,65,59,6.17,AU,1647933523
216,ixtapa,20.7,-105.2,292.16,82,37,1.48,MX,1647933523
217,walvis bay,-22.9575,14.5053,293.2,76,30,2.19,NA,1647933523
218,broken hill,-31.95,141.4333,305.8,23,100,9.27,AU,1647933523
219,laurel,39.0993,-76.8483,285.96,62,0,0,US,1647933523
220,sept-iles,50.2001,-66.3821,269.44,68,100,7.72,CA,1647933524
221,wilmington,34.2257,-77.9447,288.63,87,0,0,US,1647933524
222,cordoba,-31.4135,-64.1811,292.7,94,0,1.03,AR,1647933517
223,iqaluit,63.7506,-68.5145,245.2,68,0,9.77,CA,1647933524
224,hervey bay,-25.2986,152.8535,298.24,66,67,4.47,AU,1647933525
225,new norfolk,-42.7826,147.0587,289.77,69,100,1.79,AU,1647933525
226,qurayyat,31.3318,37.3428,283.25,53,20,5.14,SA,1647933525
227,rocha,-34.4833,-54.3333,289.83,74,100,2.68,UY,1647933526
228,shirvan,39.9509,48.8994,279.71,54,100,0.88,AZ,1647933526
229,omboue,-1.5746,9.2618,300.07,81,92,3.04,GA,1647933526
230,kununurra,-15.7667,128.7333,311.14,39,100,4.12,AU,1647933527
231,obo,5.3998,26.4869,302.41,49,76,2.68,CF,1647933527
232,lawton,34.6087,-98.3903,281.52,94,0,6.26,US,1647933527
233,flinders,-34.5833,150.8552,299.92,74,100,2.68,AU,1647933381
234,naze,28.3667,129.4833,289.66,83,100,8.11,JP,1647933308
235,teahupoo,-17.8333,-149.2667,296.13,74,16,6.56,PF,1647933528
236,riyadh,24.6877,46.7219,302.23,6,0,5.6,SA,1647933528
237,laguna,38.421,-121.4238,295.2,51,0,6.17,US,1647933528
238,antofagasta,-23.65,-70.4,288.75,84,57,1.27,CL,1647933528
239,hashtgerd,35.9642,50.6858,288.06,46,100,2.12,IR,1647933528
240,shahreza,32.0339,51.8794,289.15,29,1,6.85,IR,1647933529
241,waipawa,-41.4122,175.5153,289.37,97,94,3.01,NZ,1647933530
242,ponta do sol,32.6667,-17.1,291.52,78,100,2.64,PT,1647933530
243,tolaga bay,-38.3667,178.3,292.61,96,100,5.61,NZ,1647933530
244,namibe,-15.1961,12.1522,296.83,76,84,2.88,AO,1647933530
245,odweyne,9.4092,45.064,299.96,34,0,4,SO,1647933530
246,harlingen,26.1906,-97.6961,297.2,89,40,9.26,US,1647933531
247,mushie,-3.0167,16.9,295.25,95,100,2.45,CD,1647933531
248,si sa ket,14.8333,104.3333,308.83,49,100,3.73,TH,1647933531
249,kahului,20.8947,-156.47,297.51,80,40,4.63,US,1647933531
250,kaitangata,-46.2817,169.8464,288.06,94,46,4.34,NZ,1647933531
251,tasiilaq,65.6145,-37.6368,263.24,53,16,1.53,GL,1647933532
252,pedernales,18.0384,-71.744,298.21,71,62,2.83,DO,1647933532
253,yerbogachen,61.2767,108.0108,268.93,87,100,5.21,RU,1647933532
254,manzanares,38.9991,-3.3699,282.9,84,95,1.9,ES,1647933532
255,muzhi,65.3667,64.6667,265.73,87,100,5.65,RU,1647933533
256,te anau,-45.4167,167.7167,291.32,72,96,0.26,NZ,1647933533
257,aklavik,68.2191,-135.0107,245.52,99,75,1.37,CA,1647933533
258,port-gentil,-0.7193,8.7815,300.27,80,95,4.98,GA,1647933533
259,port hardy,50.6996,-127.4199,280.15,93,100,9.26,CA,1647933533
260,lima,-12.0432,-77.0282,291.7,23,0,2.57,PE,1647933324
261,sumenep,-7.0167,113.8667,301.6,76,100,7.15,ID,1647933534
262,baykit,61.67,96.37,269.27,82,100,4.07,RU,1647933534
263,pemangkat,1.1667,108.9667,303.21,57,100,1.49,ID,1647933534
264,olafsvik,64.8945,-23.7142,275.13,97,100,10.82,IS,1647933534
265,kindu,-2.95,25.95,293.36,99,100,0.82,CD,1647933535
266,richards bay,-28.783,32.0377,297.9,58,1,2.69,ZA,1647933535
267,grafton,42.207,-71.6856,278.29,54,0,6.17,US,1647933535
268,dalnegorsk,44.5604,135.5701,274.77,58,52,4.86,RU,1647933535
269,shache,38.4167,77.2406,288.75,27,52,2.37,CN,1647933536
270,saint-pierre,-21.3393,55.4781,303.66,80,75,9.26,RE,1647933536
271,gavrilovka vtoraya,52.877,42.7663,271.62,85,39,2.57,RU,1647933537
272,dongsheng,39.8161,109.9776,276.93,70,100,6.85,CN,1647933537
273,pudozh,61.8099,36.5345,273.85,98,19,1.85,RU,1647933537
274,hanna,51.6334,-111.9018,275.91,64,100,3.95,CA,1647933537
275,meadow lake,34.8014,-106.5436,276.86,91,95,2.97,US,1647933537
276,san quintin,30.4833,-115.95,287.23,85,0,0.63,MX,1647933538
277,saint joseph,39.7686,-94.8466,282.73,97,100,6.26,US,1647933538
278,gravdal,68.1214,13.5031,278.09,75,75,3.09,NO,1647933538
279,presidencia roque saenz pena,-26.7852,-60.4388,297.45,69,100,2.45,AR,1647933538
280,soyo,-6.1349,12.3689,299.45,87,100,1.99,AO,1647933539
281,dan khun thot,15.2085,101.7714,308.33,40,99,2.58,TH,1647933539
282,harper,4.375,-7.7169,298.2,85,83,0.47,LR,1647933540
283,pokrovskoye,47.4157,38.8971,277.35,58,6,7.8,RU,1647933540
284,mbandaka,0.0487,18.2603,297.91,81,100,2.36,CD,1647933540
285,cururupu,-1.8283,-44.8683,296.53,97,100,0.57,BR,1647933540
286,poitiers,46.5833,0.3333,280.38,53,0,4.12,FR,1647933541
287,dieppe,49.75,1.1667,283.89,87,10,3.59,FR,1647933541
288,san cristobal,7.7669,-72.225,291.91,85,36,0.42,VE,1647933541
289,dubti,11.7361,41.0853,305.02,35,55,3.38,ET,1647933541
290,bakchar,57.0186,82.0711,267.91,88,100,3.95,RU,1647933542
291,estacion coahuila,32.1939,-115.0017,291.31,15,24,3.2,MX,1647933542
292,saint-augustin,51.226,-58.6502,272.2,94,100,7.84,CA,1647933542
293,yumen,40.2833,97.2,287.86,13,13,8.5,CN,1647933542
294,keffi,8.8486,7.8736,300.56,56,100,2.12,NG,1647933542
295,tautira,-17.7333,-149.15,300.63,74,17,6.24,PF,1647933543
296,yelbarga,15.6333,76.0167,306.78,28,8,1.56,IN,1647933543
297,okha,53.5739,142.9478,267.66,70,100,6.89,RU,1647933543
298,kerema,-7.9631,145.7785,302.38,72,100,2.9,PG,1647933543
299,fort nelson,58.8053,-122.7002,263.92,86,20,1.54,CA,1647933544
300,ahipara,-35.1667,173.1667,292.57,90,1,3.66,NZ,1647933544
301,kamenka,51.3223,42.7678,270.31,83,16,1.16,RU,1647933544
302,lasa,46.6166,10.7002,275.38,63,1,0.82,IT,1647933544
303,moerai,-22.4333,-151.3333,300.35,74,99,4.14,PF,1647933545
304,cozumel,20.5083,-86.9458,298.12,85,3,5.82,MX,1647933545
305,krasnoye,49.9145,24.6134,279.99,63,0,1.54,UA,1647933545
306,knysna,-34.0363,23.0471,296.91,73,67,0.58,ZA,1647933546
307,fare,-16.7,-151.0167,300.74,73,8,6.6,PF,1647933546
308,alyangula,-13.8483,136.4192,303.93,64,100,5.89,AU,1647933546
309,koumac,-20.5667,164.2833,299.3,77,72,5.31,NC,1647933546
310,catabola,-12.15,17.2833,290.1,94,100,1.93,AO,1647933547
311,ventspils,57.3894,21.5606,274.11,86,0,1.03,LV,1647933547
312,ilulissat,69.2167,-51.1,256.16,42,92,3.09,GL,1647933547
313,havelock,34.8791,-76.9013,286.44,67,5,2.66,US,1647933547
314,puerto del rosario,28.5004,-13.8627,288.01,72,20,3.09,ES,1647933547
315,broome,42.2506,-75.833,276.31,62,0,4.12,US,1647933548
316,cayenne,4.9333,-52.3333,298.76,1,100,3.58,GF,1647933548
317,ibotirama,-12.1853,-43.2206,295.44,65,78,0.84,BR,1647933548
318,ambon,-3.6954,128.1814,303.23,66,40,4.12,ID,1647933339
319,bonthe,7.5264,-12.505,297.2,82,21,1.84,SL,1647933549
320,iranshahr,27.2025,60.6848,304.34,13,0,0,IR,1647933549
321,marzuq,14.4,46.4667,301.94,25,15,2.46,YE,1647933549
322,college,64.8569,-147.8028,256.33,55,0,5.66,US,1647933549
323,chapais,49.7834,-74.8492,260.03,90,100,5.57,CA,1647933550
324,san patricio,28.017,-97.5169,296.98,90,98,5.17,US,1647933550
325,santa engracia,41.9406,-1.3245,283.23,76,100,9.17,ES,1647933550
326,souillac,-20.5167,57.5167,300.36,89,40,1.03,MU,1647933550
327,muli,2.9167,73.5667,301.55,68,3,6.77,MV,1647933551
328,vilyuysk,63.7553,121.6247,267.04,86,100,1.74,RU,1647933551
329,dhidhdhoo,6.8833,73.1,301.19,68,7,5.82,MV,1647933414
330,havre-saint-pierre,50.2334,-63.5986,271.15,80,100,8.23,CA,1647933552
331,flin flon,54.7682,-101.865,272.29,99,100,1.3,CA,1647933552
332,chengde,40.9725,117.9361,279.1,33,100,1.35,CN,1647933552
333,fairbanks,64.8378,-147.7164,256.34,55,0,5.66,US,1647933552
334,calama,-22.4667,-68.9333,281.42,42,0,6.17,CL,1647933553
335,kaduqli,11.0167,29.7167,305.63,5,0,3.79,SD,1647933553
336,kampong chhnang,12.1667,104.55,307.31,44,87,4.77,KH,1647933553
337,anadyr,64.75,177.4833,270.43,86,20,14.75,RU,1647933553
338,fez,34.0372,-4.9998,283.29,93,40,2.06,MA,1647933553
339,road town,18.4167,-64.6167,297.04,73,0,7.25,VG,1647933554
340,caravelas,-17.7125,-39.2481,296.5,91,33,3.28,BR,1647933554
341,oros,-6.2444,-38.9136,295.26,97,98,0.71,BR,1647933554
342,nautla,20.2167,-96.7833,297.3,77,7,8.18,MX,1647933554
343,garowe,8.4054,48.4845,300.75,38,2,1.59,SO,1647933554
344,klaksvik,62.2266,-6.589,280.66,86,100,8.92,FO,1647933555
345,taltal,-25.4,-70.4833,290.84,82,24,2.04,CL,1647933555
346,tilichiki,60.4667,166.1,269.64,95,100,2.58,RU,1647933555
347,longyearbyen,78.2186,15.6401,266.06,79,40,1.03,SJ,1647933555
348,half moon bay,37.4636,-122.4286,289.02,75,0,0,US,1647933556
349,agadir,30.4202,-9.5982,285.4,82,100,0.39,MA,1647933556
350,pulivendla,14.4167,78.2333,309.95,27,31,3.06,IN,1647933556
351,mahon,39.8885,4.2658,285.46,66,40,7.72,ES,1647933556
352,arlit,18.7369,7.3853,298.36,13,2,4.63,NE,1647933557
353,bennettsville,34.6174,-79.6848,284.51,79,100,2.44,US,1647933557
354,labuhan,-6.8844,112.2051,301.63,75,100,4.83,ID,1647933558
355,lebu,-37.6167,-73.65,285.04,86,16,6.34,CL,1647933558
356,shubarkuduk,49.1447,56.4872,267.82,86,6,3.47,KZ,1647933558
357,kalat,29.0225,66.5916,293.1,13,0,5.03,PK,1647933558
358,topeka,39.0483,-95.678,283.36,96,100,4.12,US,1647933558
359,ozinki,51.1786,49.6769,268.47,90,7,4.71,RU,1647933559
360,limbang,4.75,115,302.21,82,98,1.66,MY,1647933559
361,severnyy,50.677,36.5532,278.17,56,0,1,RU,1647933559
362,pochutla,15.7432,-96.4661,297.49,71,0,2,MX,1647933559
363,wanaka,-44.7,169.15,288.85,80,30,0.66,NZ,1647933560
364,ust-omchug,61.15,149.6333,264.14,93,100,3.12,RU,1647933560
365,meybod,32.2501,54.0166,297.16,15,0,2.45,IR,1647933560
366,ardakan,32.31,54.0175,297.27,16,0,3.18,IR,1647933560
367,usakos,-22,15.6,297.6,58,94,6.22,NA,1647933561
368,hornepayne,49.2138,-84.7705,260.3,99,73,2.18,CA,1647933561
369,nyimba,-14.5566,30.8149,295.26,68,26,3.32,ZM,1647933561
